Node_attribute,GL-PvdA,D66,VVD,PvdD,BIJ1,Splinter,LEF,Volt,PVV,CDA,SP,FVD,ChristenUnie,JA21,SGP,DENK,50PLUS,BBB,Piratenpartij - De Groenen,BVNL,NSC,Libertaire Partij,Samen voor Nederland,Nederland met een Plan,PartijvdSport
Year,2023,1966,1948,2002,2016,2020,2020,2018,2006,1980,1971,2016,2001,2020,1918,2015,2009,2019,2023,2021,2023,1993,2022,2022,2021
Seats_2021,17,24,34,6,1,0,0,3,17,15,9,8,5,3,3,3,1,1,0,0,0,0,0,0,0
Seats_2023,25,9,24,3,0,0,0,2,37,5,5,3,3,1,3,3,0,7,0,0,20,0,0,0,0
perc_left_right,-55,-5,50,-95,-95,,,-14,9,23,-77,64,-32,77,27,-68,-23,9,,100,-9,,,,
Left_Right,-1,0,1,-2,-2,-2,-2,0,0,0,-2,1,0,2,0,-2,0,0,-2,3,0,1,2,-1,0
perc_prog_conserv,-66,-58,32,-82,-92,,,-84,74,24,-21,92,-21,89,42,-32,3,42,,89,8,,,,
Progressive_Conservative,-1,-1,0,-2,-2,,,-2,2,0,0,2,0,2,1,0,0,1,,2,0,,,,
is_coalition_2021,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

